"sim.id","1","2","3","4","5","6","7","8","9","10","person.eagerness.man.dist.gamma.a","person.eagerness.man.dist.gamma.b","conception.alpha_base","formation.hazard.agegapry.numrel_man","formation.hazard.agegapry.eagerness_diff","formation.hazard.agegapry.gap_factor_man_exp","person.agegap.man.dist.normal.mu","person.agegap.woman.dist.normal.mu","person.agegap.man.dist.normal.sigma","person.agegap.woman.dist.normal.sigma","person.eagerness.woman.dist.gamma.a","person.eagerness.woman.dist.gamma.b","formation.hazard.agegapry.numrel_woman","formation.hazard.agegapry.gap_factor_woman_exp"
1,0.890064712493448,0.97712758742203,0.882268015138805,0.879812511360273,0.918092516317964,0.450213363927556,0.190603995759506,0.749838937636931,0.522111779270926,0.705902862827061,1.79112295373755,58.7420173082117,-1.48255676366687,-0.268262484095618,-0.00819074836820363,-1.00476529967969,0.762415983038023,2.99935575054772,1.28316766890639,1.55885429424059,1.79112295373755,58.7420173082117,-0.268262484095618,-1.00476529967969
2,0.487676612401847,0.915206983422861,0.328101779840188,0.0649243405519519,0.871446744062472,0.984969357035123,0.725974084093468,0.358029608795187,0.11307662838744,0.132650260986062,1.02658556356351,55.3363840882573,-2.81255572838355,-1.40910592322727,-0.0128553255937528,-0.416533707261365,2.90389633637387,1.43211843518075,0.66961494258116,0.698975391479093,1.02658556356351,55.3363840882573,-1.40910592322727,-0.416533707261365
3,0.462735371692572,0.948170596547658,0.894133624097332,0.057352853464894,0.262829446365824,0.71272777071083,0.0342034243873786,0.386473515579244,0.228172015830642,0.825076692567673,0.979197206215886,57.1493828101212,-1.4540793021664,-1.41970600514915,-0.0737170553634176,-0.715999452218087,0.136813697549514,1.54589406231698,0.842258023745962,1.73761503885151,0.979197206215886,57.1493828101212,-1.41970600514915,-0.715999452218087
4,0.720111299667275,0.310625107257627,0.833799352577189,0.2714778561329,0.732812373955268,0.970343963527354,0.284020601011813,0.447947992831469,0.436842057133792,0.541535500284517,1.46821146936782,22.0843808991695,-1.59888155381475,-1.11993100141394,-0.0267187626044732,-0.432621640119911,1.13608240404725,1.79179197132587,1.15526308570069,1.31230325042678,1.46821146936782,22.0843808991695,-1.11993100141394,-0.432621640119911
5,0.51204665461788,0.0719473042762838,0.254014990726253,0.810545413132058,0.897805106687359,0.904144011767581,0.818071920660324,0.500601786430227,0.807536416512681,0.528595914869569,1.07288864377397,8.95710173519561,-2.99036402225699,-0.365236421615118,-0.0102194893312641,-0.505441587055661,3.2722876826413,2.00240714572091,1.71130462476902,1.29289387230435,1.07288864377397,8.95710173519561,-0.365236421615118,-0.505441587055661
6,0.898130910312291,0.541932508736383,0.127705405939836,0.196878387146862,0.406385928065516,0.0761385575197637,0.529569371455349,0.112608251915313,0.143510987811256,0.0594717959531117,1.80644872959335,34.8062879805011,-3.29350702574439,-1.22437025799439,-0.0593614071934484,-1.41624758672826,2.1182774858214,0.450433007661253,0.715266481716884,0.589207693929668,1.80644872959335,34.8062879805011,-1.22437025799439,-1.41624758672826
7,0.959880956365261,0.596566635031952,0.120487513917498,0.81704233231605,0.162855607396457,0.540845946103567,0.025953908217838,0.756267150643282,0.656758458089549,0.0604165604414884,1.923773817094,37.8111649267573,-3.310829966598,-0.35614073475753,-0.0837144392603543,-0.905069459286076,0.103815632871352,3.02506860257313,1.48513768713432,0.590624840662233,1.923773817094,37.8111649267573,-0.35614073475753,-0.905069459286076
8,0.552839725489495,0.0207312443216797,0.0239691146975383,0.474995355430292,0.0357146235972177,0.493571411172394,0.915559228124563,0.450643633555854,0.232252849725075,0.466598704583477,1.15039547843004,6.14021843769238,-3.54247412472591,-0.835006502397591,-0.0964285376402782,-0.957071447710367,3.66223691249825,1.80257453422341,0.848379274587613,1.19989805687522,1.15039547843004,6.14021843769238,-0.835006502397591,-0.957071447710367
9,0.408868142720079,0.924181892147055,0.409397278206423,0.584771467542276,0.509362950246083,0.210570485441945,0.407061254895292,0.139218740890734,0.0897496606917121,0.459531936495332,0.87684947116815,55.830004068088,-2.61744653230459,-0.681319945440814,-0.0490637049753917,-1.26837246601386,1.62824501958117,0.556874963562936,0.634624491037568,1.189297904743,0.87684947116815,55.830004068088,-0.681319945440814,-1.26837246601386
10,0.875033382926136,0.392443485652562,0.0696716659530066,0.796632620652905,0.515234587585321,0.5984856979053,0.904942088666139,0.310129510654369,0.135164532996714,0.487123342177598,1.76256342755966,26.5843917108909,-3.43278800171278,-0.384714331085933,-0.0484765412414679,-0.84166573230417,3.61976835466456,1.24051804261748,0.702746799495071,1.2306850132664,1.76256342755966,26.5843917108909,-0.384714331085933,-0.84166573230417
11,0.688107906995574,0.280910168906907,0.591703478127718,0.540187881048303,0.540447980386438,0.326151276330231,0.646424307011301,0.424623749282444,0.46889716348052,0.985938957968261,1.40740502329159,20.4500592898799,-2.17991165249348,-0.743736966532376,-0.0459552019613562,-1.14123359603675,2.5856972280452,1.69849499712978,1.20334574522078,1.97890843695239,1.40740502329159,20.4500592898799,-0.743736966532376,-1.14123359603675
12,0.115549296889221,0.626562214015285,0.361228133180877,0.0377084802691825,0.189576306900941,0.863732385592535,0.430333092198707,0.507988450142788,0.454397485880181,0.159430451751221,0.31954366408952,39.4609217708406,-2.73305248036589,-1.44720812762314,-0.0810423693099059,-0.549894375848211,1.72133236879483,2.03195380057115,1.18159622882027,0.739145677626831,0.31954366408952,39.4609217708406,-1.44720812762314,-0.549894375848211
13,0.893109317742521,0.430508793346584,0.853287930957275,0.516628018798772,0.265777442976367,0.168871319835074,0.750845235706307,0.962167599761859,0.404074225849472,0.621414548896952,1.79690770371079,28.6779836340621,-1.55210896570254,-0.776720773681719,-0.0734222557023633,-1.31424154818142,3.00338094282523,3.84867039904743,1.10611133877421,1.43212182334543,1.79690770371079,28.6779836340621,-0.776720773681719,-1.31424154818142
14,0.0267225905163214,0.866711520848796,0.775027906048112,0.868684220709838,0.709766593058128,0.215454476065235,0.243156708339928,0.640470183539903,0.376383881430142,0.0648388364019338,0.150772921981011,52.6691336466838,-1.73993302548453,-0.283842091006227,-0.0290233406941872,-1.26300007632824,0.972626833359711,2.56188073415961,1.06457582214521,0.597258254602901,0.150772921981011,52.6691336466838,-0.283842091006227,-1.26300007632824
15,0.772725010275608,0.706418002802413,0.406946122933179,0.404043773867423,0.582310686375946,0.89351609093789,0.513707853983622,0.350123767946381,0.345921527057188,0.0502203651829623,1.56817751952366,43.8529901541327,-2.62332930496037,-0.934338716585608,-0.0417689313624054,-0.517132299968321,2.05483141593449,1.40049507178552,1.01888229058578,0.575330547774443,1.56817751952366,43.8529901541327,-0.934338716585608,-0.517132299968321
