"sim.id","xdesign1","xdesign2","xdesign3","xdesign4","xdesign5","xdesign6","xdesign7","xdesign8","xdesign9","xdesign10","xdesign11","xdesign12","xdesign13","xdesign14","xdesign15","conception.alpha_base","person.art.accept.threshold.dist.fixed.value","person.eagerness.man.dist.gamma.a","person.eagerness.man.dist.gamma.b","person.eagerness.woman.dist.gamma.a","person.eagerness.woman.dist.gamma.b","formation.hazard.agegapry.numrel_man","formation.hazard.agegapry.numrel_woman","formation.hazard.agegapry.eagerness_diff","formation.hazard.agegapry.gap_factor_man_exp","formation.hazard.agegapry.gap_factor_woman_exp","person.agegap.man.dist.normal.mu","person.agegap.woman.dist.normal.mu","person.agegap.man.dist.normal.sigma","person.agegap.woman.dist.normal.sigma"
1,0.593765744716239,0.921449225334451,0.586090603528079,0.279172688183996,0.905551165817771,0.166276872680988,0.898356911301458,0.87082364984819,0.358912324061928,0.979219534553743,0.953940075944488,0.374113121504119,0.342124645278013,0.750484073659871,0.452568154315309,-2.01246851056752,0.860724612667225,1.3619177845865,38.3751806455199,1.7772165155631,34.9883061804296,-0.242300324177959,-0.280846890212533,-0.0384652605562843,-0.422858511990883,-0.450665916461063,3.49645248601648,3.36849858111205,1.75048407365987,1.45256815431531
2,0.873564589040664,0.318373031090945,0.841897657377024,0.247549790447578,0.924093135645458,0.681427314250109,0.470075187596958,0.520336748893683,0.820776285774385,0.368283775359082,0.795873448840808,0.613780885320622,0.273982049679694,0.0351555383640031,0.442237761165171,-1.45287082191867,0.559186515545472,1.69446695459013,37.4264937134273,1.80132107633909,50.4428194275033,-0.841894737364259,-0.771528551548844,-0.0107534228535369,-1.09488784710501,-0.624539206275111,4.45512354128249,3.09592819871878,1.035155538364,1.44223776116517
3,0.325152328349495,0.552612193729728,0.0429316388663525,0.155129921463939,0.965196383363257,0.000305002837131421,0.907827974023763,0.746677351046043,0.708647679445955,0.766450799956297,0.831425294094409,0.678617644833867,0.0515436498476192,0.230001885152577,0.168788667369634,-2.54969534330101,0.676306096864864,0.655811130526258,34.6538976439182,1.85475529837223,30.0091500851139,-0.229040836366732,-0.45465170853554,-0.0174811392332427,-0.656904120048073,-0.585432176496151,4.71447057933547,2.20617459939048,1.23000188515258,1.16878866736963
4,0.308159036767514,0.276785768252797,0.0382570061573448,0.265035504031926,0.741905335806465,0.171202008663987,0.088030688235381,0.246842036020942,0.511685183776698,0.84909838766139,0.496089884692027,0.280354864812301,0.732655007172997,0.437294433684399,0.10346127882693,-2.58368192646497,0.538392884126399,0.649734108004548,37.9510651209578,1.56447693654841,35.1360602599196,-1.37675703647047,-1.15442114957068,-0.0292988889733981,-0.565991773572471,-0.95430112683877,3.1214194592492,4.93062002869199,1.4372944336844,1.10346127882693
5,0.714082776493703,0.299298670319219,0.937855864339353,0.633344072187319,0.127328348344502,0.408880741863977,0.550561565073362,0.24334175928946,0.892675356492711,0.234906608144287,0.635081303583924,0.0964013144196942,0.817881661047383,0.629714680988186,0.284936414066857,-1.77183444701259,0.54964933515961,1.81921262364116,49.0003221656196,0.765526852847853,42.2664222559193,-0.729213808897293,-1.15932153699476,-0.00643947861043737,-1.24160273104128,-0.801410566057684,2.38560525767878,5.27152664418953,1.62971468098819,1.28493641406686
6,0.480417269364465,0.929517218128933,0.774695086939881,0.989988525988689,0.483381889786261,0.485912089111904,0.360688395709886,0.976951039615398,0.145356608193989,0.266923083412616,0.305935173087753,0.937099579682263,0.553759285642765,0.616589314294358,0.0192767257952752,-2.23916546127107,0.864758609064467,1.60710361302185,59.6996557796607,1.22839645672214,44.5773626733571,-0.99503624600616,-0.132268544538443,-0.0512786035083607,-1.20638460824612,-1.16347130960347,5.74839831872905,4.21503714257106,1.61658931429436,1.01927672579528
7,0.680570440355999,0.889105820376892,0.690081869227812,0.808298291411251,0.0232570748024931,0.624164601038365,0.927390931795662,0.0718932777517475,0.186017642367166,0.421431875019334,0.983787551787216,0.461921156476562,0.0900627737015796,0.836658765210925,0.847881955174419,-1.838859119288,0.844552910188446,1.49710642999616,54.2489487423375,0.630234197243241,48.724938031151,-0.201652695486074,-1.39934941114755,-0.0488389414579701,-1.03642493747873,-0.417833693034062,3.84768462590625,2.36025109480632,1.83665876521093,1.84788195517442
8,0.92841901885656,0.0274363567132192,0.180990319444177,0.980300854853665,0.967294530822896,0.871880999933928,0.352178743697237,0.343728878920898,0.851947019748235,0.892725100551111,0.819439953919655,0.345986287527873,0.462200317688441,0.468804772133163,0.655380410508874,-1.34316196228688,0.41371817835661,0.83528741527743,59.4090256456099,1.85748289006976,56.1564299980178,-1.00694975882387,-1.01877956951074,-0.00888317881510593,-0.518002389393778,-0.598616050688379,3.38394515011149,3.84880127075377,1.46880477213316,1.65538041050887
9,0.853787592685161,0.0643087514212045,0.540106245342642,0.936302271273608,0.189556976792868,0.428809686758711,0.735764970912132,0.145202495641386,0.29619787116209,0.91774718781778,0.874477436367733,0.527503615663542,0.589649047437434,0.727841172481732,0.0237965256425863,-1.49242481462968,0.432154375710602,1.30213811894543,58.0890681382082,0.846424069830729,42.8642906027613,-0.469929040723015,-1.29671650610206,-0.0422281277302746,-0.490478093400442,-0.538074819995494,4.11001446265417,4.35859618974974,1.72784117248173,1.02379652564259
10,0.953954144826314,0.283148078074368,0.131120085195017,0.384573176709159,0.759363380558478,0.00504671107511967,0.704959613587707,0.86537586224017,0.713611622255451,0.682560475741047,0.0269715266983646,0.222749055398473,0.919502366861484,0.0111110955726666,0.914141268909288,-1.29209171034737,0.541574039037184,0.770456110753522,41.5371953012748,1.58717239472602,30.1514013322536,-0.51305654097721,-0.288473792863761,-0.017183302664673,-0.749183476684848,-1.4703313206318,2.89099622159389,5.67800946744593,1.01111109557267,1.91414126890929
